1,2985600,16042200,4000,2200,27200,8400,2400,1800
100,1546700,1225400,87800,125000,386900,76800,38600,180400
200,1964400,1278500,78400,138500,1436600,161100,85700,112000
300,4257900,1562900,236700,369600,2344700,241700,145400,113400
400,2136000,1321700,93000,233400,2346100,381800,233900,145100
500,6393400,2892200,159400,368500,3901600,468200,242400,125600
600,9229800,2267100,208700,311400,5954800,516400,531600,205400
700,7007300,2701100,288400,340300,8680900,586400,553700,170700
800,9858900,3922600,313700,286100,14775100,652700,464600,188200
900,11035900,4367600,834700,360500,10171300,767800,448200,195700
1000,15187600,3339400,971000,327200,16406000,514500,524600,208500
